Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód MOP;Název MOP;Kód části obce;Název části obce;Kód ulice;Název ulice;Typ SO;Číslo domovní;Číslo orientační;Znak čísla orientačního;PSČ;Souřadnice Y;Souřadnice X;Platí Od
17450195;573108;Libáň;;;;;81671;Libáň;166154;Nad Hřištěm;č.p.;581;;;50723;682253.23;1018344.24;2013-12-01T00:00:00
17450209;573108;Libáň;;;;;81671;Libáň;166154;Nad Hřištěm;č.p.;582;;;50723;682252.67;1018311.34;2013-12-01T00:00:00
17450217;573108;Libáň;;;;;81671;Libáň;166154;Nad Hřištěm;č.p.;583;;;50723;682274.02;1018309.42;2013-12-01T00:00:00
17450225;573108;Libáň;;;;;81671;Libáň;166154;Nad Hřištěm;č.p.;584;;;50723;682313.36;1018304.27;2013-12-01T00:00:00
17450233;573108;Libáň;;;;;81671;Libáň;166154;Nad Hřištěm;č.p.;585;;;50723;682384.64;1018298.10;2013-12-01T00:00:00
17450241;573108;Libáň;;;;;81671;Libáň;166154;Nad Hřištěm;č.p.;586;;;50723;682407.20;1018293.96;2013-12-01T00:00:00
17450250;573108;Libáň;;;;;81671;Libáň;166154;Nad Hřištěm;č.p.;587;;;50723;682428.72;1018289.09;2013-12-01T00:00:00
17450268;573108;Libáň;;;;;81671;Libáň;166154;Nad Hřištěm;č.p.;588;;;50723;682445.75;1018289.41;2013-12-01T00:00:00
17450284;573108;Libáň;;;;;81671;Libáň;166154;Nad Hřištěm;č.p.;589;;;50723;682349.42;1018302.54;2013-12-01T00:00:00
17450292;573108;Libáň;;;;;81671;Libáň;166154;Nad Hřištěm;č.p.;590;;;50723;682349.04;1018294.59;2013-12-01T00:00:00
17450306;573108;Libáň;;;;;81671;Libáň;166154;Nad Hřištěm;č.p.;591;;;50723;682356.76;1018291.95;2013-12-01T00:00:00
17450314;573108;Libáň;;;;;81671;Libáň;166154;Nad Hřištěm;č.p.;592;;;50723;682351.41;1018279.39;2014-06-25T00:00:00
